Date,^NDX
2000-11-02,3308.47998046875
2000-11-03,3321.909912109375
2000-11-06,3290.469970703125
2000-11-07,3279.570068359375
2000-11-08,3059.090087890625
2000-11-09,3057.06005859375
2000-11-10,2890.260009765625
2000-11-13,2836.6201171875
2000-11-14,3039.5
2000-11-15,3076.699951171875
2000-11-16,2925.159912109375
2000-11-17,2934.81005859375
2000-11-20,2792.409912109375
2000-11-21,2786.530029296875
2000-11-22,2668.25
2000-11-24,2830.090087890625
2000-11-27,2769.320068359375
2000-11-28,2621.110107421875
2000-11-29,2602.85009765625
2000-11-30,2506.5400390625
2000-12-01,2549.739990234375
2000-12-04,2554.39990234375
2000-12-05,2852.8701171875
2000-12-06,2743.699951171875
2000-12-07,2719.909912109375
2000-12-08,2895.389892578125
2000-12-11,2972.909912109375
2000-12-12,2863.2099609375
2000-12-13,2748.8798828125
2000-12-14,2639.260009765625
2000-12-15,2543.090087890625
2000-12-18,2543.090087890625
2000-12-19,2399.6298828125
2000-12-20,2210.320068359375
2000-12-21,2224.840087890625
2000-12-22,2436.260009765625
2000-12-26,2404.60009765625
2000-12-27,2460.2099609375
2000-12-28,2464.6201171875
2000-12-29,2341.699951171875
2001-01-02,2128.780029296875
2001-01-03,2528.3798828125
2001-01-04,2460.0400390625
2001-01-05,2267.85009765625
2001-01-08,2281.5400390625
2001-01-09,2311.39990234375
2001-01-10,2413.7099609375
2001-01-11,2524.2900390625
2001-01-12,2506.050048828125
2001-01-16,2470.719970703125
2001-01-17,2558.669921875
2001-01-18,2670.469970703125
2001-01-19,2655.77001953125
2001-01-22,2643.1298828125
2001-01-23,2730.050048828125
2001-01-24,2726.449951171875
2001-01-25,2595.85009765625
2001-01-26,2631.780029296875
2001-01-29,2694.530029296875
2001-01-30,2686.139892578125
2001-01-31,2593.0
2001-02-01,2607.159912109375
2001-02-02,2472.179931640625
2001-02-05,2467.300048828125
2001-02-06,2473.239990234375
2001-02-07,2409.659912109375
2001-02-08,2355.669921875
2001-02-09,2261.77001953125
2001-02-12,2286.760009765625
2001-02-13,2208.39990234375
2001-02-14,2305.820068359375
2001-02-15,2371.0400390625
2001-02-16,2212.510009765625
2001-02-20,2095.110107421875
2001-02-21,2058.5400390625
2001-02-22,2032.4200439453125
2001-02-23,2056.06005859375
2001-02-26,2097.639892578125
2001-02-27,1964.52001953125
2001-02-28,1908.3199462890625
2001-03-01,1968.02001953125
2001-03-02,1881.3399658203125
2001-03-05,1916.6800537109375
2001-03-06,1976.31005859375
2001-03-07,1996.22998046875
2001-03-08,1938.1500244140625
2001-03-09,1813.02001953125
2001-03-12,1680.6400146484375
2001-03-13,1789.699951171875
2001-03-14,1745.1300048828125
2001-03-15,1697.9200439453125
2001-03-16,1647.510009765625
2001-03-19,1730.4599609375
2001-03-20,1614.469970703125
2001-03-21,1605.0400390625
2001-03-22,1701.9000244140625
2001-03-23,1705.02001953125
2001-03-26,1676.9000244140625
2001-03-27,1735.6300048828125
2001-03-28,1602.219970703125
2001-03-29,1563.1400146484375
2001-03-30,1573.25
2001-04-02,1516.5799560546875
2001-04-03,1399.050048828125
2001-04-04,1370.75
2001-04-05,1519.050048828125
2001-04-06,1448.1600341796875
2001-04-09,1481.219970703125
2001-04-10,1597.8699951171875
2001-04-11,1647.3599853515625
2001-04-12,1714.2900390625
2001-04-16,1650.2099609375
2001-04-17,1671.510009765625
2001-04-18,1830.7900390625
2001-04-19,1953.280029296875
2001-04-20,1933.5699462890625
2001-04-23,1811.8900146484375
2001-04-24,1762.2099609375
2001-04-25,1814.3299560546875
2001-04-26,1763.3299560546875
2001-04-27,1810.469970703125
2001-04-30,1855.1500244140625
2001-05-01,1919.010009765625
2001-05-02,1962.4200439453125
2001-05-03,1877.800048828125
2001-05-04,1924.1199951171875
2001-05-07,1895.4100341796875
2001-05-08,1929.239990234375
2001-05-09,1876.5999755859375
2001-05-10,1838.3199462890625
2001-05-11,1821.199951171875
2001-05-14,1795.06005859375
2001-05-15,1797.0799560546875
2001-05-16,1899.469970703125
2001-05-17,1925.1400146484375
2001-05-18,1927.68994140625
2001-05-21,2052.570068359375
2001-05-22,2042.9300537109375
2001-05-23,1957.56005859375
2001-05-24,2003.3699951171875
2001-05-25,1960.739990234375
2001-05-29,1873.530029296875
2001-05-30,1779.0
2001-05-31,1799.8900146484375
2001-06-01,1840.8299560546875
2001-06-04,1838.8399658203125
2001-06-05,1923.9000244140625
2001-06-06,1903.8399658203125
2001-06-07,1963.31005859375
2001-06-08,1896.219970703125
2001-06-11,1846.5
2001-06-12,1852.030029296875
2001-06-13,1790.2099609375
2001-06-14,1711.3900146484375
2001-06-15,1701.530029296875
2001-06-18,1666.489990234375
2001-06-19,1675.9000244140625
2001-06-20,1721.56005859375
2001-06-21,1751.219970703125
2001-06-22,1727.469970703125
2001-06-25,1743.9000244140625
2001-06-26,1751.6199951171875
2001-06-27,1756.02001953125
